"Bedrijfstakken/branches SBI 2008";"Perioden";"Bedrijfsgrootte/1 werkzaam persoon (aantal)";"Bedrijfsgrootte/2 werkzame personen (aantal)";"Bedrijfsgrootte/3 tot 5 werkzame personen (aantal)";"Bedrijfsgrootte/5 tot 10 werkzame personen (aantal)";"Bedrijfsgrootte/10 tot 20 werkzame personen (aantal)";"Bedrijfsgrootte/20 tot 50 werkzame personen (aantal)";"Bedrijfsgrootte/50 tot 100 werkzame personen (aantal)";"Bedrijfsgrootte/100 werkzame personen of meer (aantal)";"Bedrijfsgrootte/0 tot 50 werkzame personen (aantal)";"Bedrijfsgrootte/0 tot 250 werkzame personen (aantal)"
"A-U Alle economische activiteiten";"2020 1e kwartaal*";" 1438145";"  188100";"   90455";"   65255";"   33530";"   20500";"    7145";"    8035";" 1835980";" 1847890"
"Totaal (ex. financieel of nutsbedrijven)";"2020 1e kwartaal*";" 1351420";"  181600";"   88075";"   63585";"   32750";"   20030";"    6980";"    7775";" 1737465";" 1749070"
"A Landbouw, bosbouw en visserij";"2020 1e kwartaal*";"   36320";"   21770";"   11285";"    3530";"    1285";"     665";"     130";"      65";"   74865";"   75040"
"B-E Nijverheid (geen bouw) en energie";"2020 1e kwartaal*";"   47480";"    7675";"    4435";"    4720";"    3510";"    2775";"    1260";"    1420";"   70595";"   72795"
"B Delfstoffenwinning";"2020 1e kwartaal*";"     335";"      25";"      20";"      25";"      15";"      15";"      15";"      25";"     435";"     475"
"C Industrie";"2020 1e kwartaal*";"   44805";"    7360";"    4230";"    4530";"    3380";"    2645";"    1185";"    1300";"   66945";"   68990"
"D Energievoorziening";"2020 1e kwartaal*";"    1150";"     160";"      85";"      45";"      25";"      20";"      15";"      35";"    1480";"    1510"
"E Waterbedrijven en afvalbeheer";"2020 1e kwartaal*";"    1190";"     135";"     100";"     125";"      90";"      95";"      50";"      60";"    1735";"    1820"
"F Bouwnijverheid";"2020 1e kwartaal*";"  162275";"   15335";"    6010";"    4865";"    2770";"    1665";"     520";"     380";"  192920";"  193695"
"G-I Handel, vervoer en horeca";"2020 1e kwartaal*";"  206550";"   60645";"   33030";"   25555";"   12505";"    7205";"    2165";"    1820";"  345490";"  348880"
"G Handel";"2020 1e kwartaal*";"  146790";"   40800";"   21935";"   15800";"    7190";"    4575";"    1465";"    1145";"  237085";"  239320"
"H Vervoer en opslag";"2020 1e kwartaal*";"   32450";"    6690";"    2915";"    2335";"    1470";"    1240";"     440";"     475";"   47095";"   47845"
"I Horeca";"2020 1e kwartaal*";"   27310";"   13155";"    8185";"    7420";"    3845";"    1395";"     265";"     200";"   61310";"   61715"
"J Informatie en communicatie";"2020 1e kwartaal*";"   81070";"    8090";"    3140";"    2550";"    1685";"    1225";"     420";"     330";"   97760";"   98390"
"K Financiële dienstverlening";"2020 1e kwartaal*";"   84350";"    6180";"    2175";"    1470";"     640";"     340";"     100";"     165";"   95155";"   95340"
"L Verhuur en handel van onroerend goed";"2020 1e kwartaal*";"   19910";"    4410";"    2195";"     995";"     380";"     230";"     100";"      85";"   28115";"   28275"
"M-N Zakelijke dienstverlening";"2020 1e kwartaal*";"  379600";"   33220";"   12715";"   10290";"    5790";"    3685";"    1375";"    1410";"  445305";"  447505"
"M Specialistische zakelijke diensten";"2020 1e kwartaal*";"  319805";"   24660";"    8805";"    6980";"    3720";"    1980";"     585";"     480";"  365945";"  366840"
"N Verhuur en overige zakelijke diensten";"2020 1e kwartaal*";"   59800";"    8565";"    3915";"    3310";"    2070";"    1705";"     790";"     930";"   79360";"   80660"
"O-Q Overheid en zorg";"2020 1e kwartaal*";"  226360";"   16150";"    8480";"    7110";"    3345";"    1780";"     765";"    2160";"  263225";"  264960"
"O Openbaar bestuur en overheidsdiensten";"2020 1e kwartaal*";"     210";"       5";"      15";"      30";"      35";"      30";"      75";"     420";"     320";"     570"
"P Onderwijs";"2020 1e kwartaal*";"   86365";"    5915";"    1335";"     755";"     560";"     430";"     260";"     765";"   95365";"   96030"
"Q Gezondheids- en welzijnszorg";"2020 1e kwartaal*";"  139785";"   10230";"    7130";"    6330";"    2750";"    1320";"     435";"     980";"  167540";"  168360"
"R-U Cultuur, recreatie, overige diensten";"2020 1e kwartaal*";"  194230";"   14620";"    6995";"    4170";"    1620";"     925";"     305";"     205";"  222555";"  223010"
"R Cultuur, sport en recreatie";"2020 1e kwartaal*";"  100900";"    6855";"    2720";"    1640";"     770";"     515";"     155";"     105";"  113395";"  113625"
"S Overige dienstverlening";"2020 1e kwartaal*";"   93295";"    7740";"    4250";"    2495";"     825";"     405";"     150";"     100";"  109015";"  109235"
"T Huishoudens";"2020 1e kwartaal*";"      20";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"      20";"      20"
"U Extraterritoriale organisaties";"2020 1e kwartaal*";"      20";"      20";"      20";"      30";"      20";"      10";"       0";"       0";"     125";"     130"
